nodes	id	label	first_name	last_name	affiliation_name	created_at	updated_at	twitter_username	blog_feed_url	blog_url	alias_list	born_month	crunchbase_url	homepage_url	born_day	born_year
a-barr-dolan	665250	person	A.	Barr Dolan	Unaffiliated	Tue Nov 10 14:26:25 UTC 2009	Wed Dec 11 20:12:46 UTC 2013						http://www.crunchbase.com/person/a-barr-dolan			
a-bea-hightower	665251	person	A.	Bea Hightower	Unaffiliated	Mon Nov 19 14:41:01 UTC 2012	Wed Nov 21 08:03:25 UTC 2012						http://www.crunchbase.com/person/a-bea-hightower			
a-bowman	665252	person	A.	Bowman	Unaffiliated	Mon Dec 21 18:51:16 UTC 2009	Tue Oct 01 21:31:41 UTC 2013						http://www.crunchbase.com/person/a-bowman			
a-brad-cann	665253	person	A.	Brad Cann	Unaffiliated	Wed Jul 21 01:44:31 UTC 2010	Thu Aug 15 11:48:06 UTC 2013						http://www.crunchbase.com/person/a-brad-cann			
a-bruce-johnston	665254	person	A.	Bruce Johnston	Unaffiliated	Fri Sep 06 06:22:04 UTC 2013	Fri Sep 13 11:38:09 UTC 2013						http://www.crunchbase.com/person/a-bruce-johnston			
a-c-d-augustine	665255	person	A.C.	D Augustine	Unaffiliated	Tue Apr 20 06:16:07 UTC 2010	Tue Apr 20 06:16:07 UTC 2010						http://www.crunchbase.com/person/a-c-d-augustine			
a-carey-zuniga	665256	person	a	carey-zuniga	Unaffiliated	Wed May 12 14:22:28 UTC 2010	Mon May 31 01:04:58 UTC 2010	doyoudoubtthat		http://almacz.wordpress.com/			http://www.crunchbase.com/person/a-carey-zuniga			1917
a-charles-baillie	665257	person	A.	Charles Baillie	Unaffiliated	Tue Dec 24 06:03:40 UTC 2013	Tue Dec 24 06:13:01 UTC 2013						http://www.crunchbase.com/person/a-charles-baillie			
a-christopher-bulger	665258	person	A.	Christopher Bulger	Unaffiliated	Wed Apr 08 21:26:39 UTC 2009	Fri Apr 10 20:03:35 UTC 2009						http://www.crunchbase.com/person/a-christopher-bulger			
a-curci	665259	person	A.	Curci	Unaffiliated	Thu Aug 07 10:46:17 UTC 2008	Thu Aug 07 18:02:52 UTC 2008						http://www.crunchbase.com/person/a-curci			
a-d-hewett	665260	person	A D	Hewett	Unaffiliated	Mon Jul 16 09:57:31 UTC 2012	Mon Jul 16 10:07:27 UTC 2012	ADHewett					http://www.crunchbase.com/person/a-d-hewett	http://www.adhewett.co.uk		
a-d-kent	665261	person	A.D.	Kent	Unaffiliated	Mon Feb 25 00:38:33 UTC 2013	Mon Feb 25 06:08:54 UTC 2013						http://www.crunchbase.com/person/a-d-kent			
a-d-terpstra	665262	person	A.D.	Terpstra	Unaffiliated	Sun Jul 05 21:02:06 UTC 2009	Tue Jul 07 21:12:09 UTC 2009						http://www.crunchbase.com/person/a-d-terpstra			
a-craig-asher	665263	person	A.	Craig Asher	Unaffiliated	Fri Nov 01 07:30:40 UTC 2013	Mon Jan 06 10:39:49 UTC 2014						http://www.crunchbase.com/person/a-craig-asher			
a-dana-callow-jr	665264	person	A.	Dana Callow, Jr.	Unaffiliated	Tue Apr 23 14:36:36 UTC 2013	Tue Apr 23 14:45:13 UTC 2013						http://www.crunchbase.com/person/a-dana-callow-jr			
a-david-thyresson	665265	person	A.	David Thyresson	Unaffiliated	Wed May 09 19:41:03 UTC 2012	Fri May 11 03:40:58 UTC 2012						http://www.crunchbase.com/person/a-david-thyresson			
a-devina	665266	person	A	Devina	Unaffiliated	Sun Feb 10 05:00:32 UTC 2013	Wed Feb 13 23:56:08 UTC 2013						http://www.crunchbase.com/person/a-devina			
a-dionysiou	665267	person	A	Dionysiou	Unaffiliated	Thu Jul 09 07:32:21 UTC 2009	Sat Jul 11 20:45:36 UTC 2009						http://www.crunchbase.com/person/a-dionysiou			
