nodes	id	label	name	category_code	crunchbase_url	description	number_of_employees	created_at	updated_at	founded_day	alias_list	deadpooled_month	deadpooled_year	deadpooled_day	deadpooled_url	twitter_username	homepage_url	total_money_raised	blog_url	error	blog_feed_url	founded_month	email_address	founded_year
3gchemist	666218	company																						
coupeez-inc	666219	company																						
toolbox-digital	666220	company																						
delfts-instruments-n-v	666221	company																						
tangle-labs	666222	company																						
charter-life-sciences	666223	company																						
corepair	666224	company																						
cmd-consulting	666225	company																						
charter-venture-group	666226	company																						
ellie-mae	666227	company																						
kfx-medical	666228	company																						
xlumena	666229	company																						
heska	666230	company																						
reeves-aiken-hightower-llp	666231	company																						
dionex-corporation	666232	company																						
cell-biosciences	666233	company																						
molecular-devices	666234	company																						
mckinsey-company	666235	company																						
motorola-semiconductors	666236	company																						
resverlogix	666237	company																						
zenith-epigenetics	666238	company																						
ta-associates	666239	company																						
e-rewards	666240	company																						
monotype-imaging-holdings	666241	company																						
syntricity	666242	company																						
telus-ventures	666243	company																						
bulger-capital	666244	company																						
consorzio-il-tavoliere	666245	company																						
docventive	666246	company																						
civolution	666247	company																						
vital-financial	666248	company																						
accenture	666249	company																						
trigo-technologies	666250	company																						
commerce-one	666251	company																						
medaptus	666252	company																						
stattleship	666253	company																						
oneonlinestop	666254	company																						
united-on-line	666255	company																						
intel	666256	company																						
georgetown-university-law-center	666257	company																						
american-law-institute	666258	company																						
george-mason-university	666259	company																						
yale-university	666260	company																						
wilmerhale	666261	company																						
u-s-department-of-justice	666262	company																						
polycom-2	666263	company																						
soundmindz	666264	company																						
health-sciences	666265	company																						
johnson-johnson	666266	company																						
ocellus	666267	company																						
ucla-health-system	666268	company																						
university-of-california-berkeley	666269	company																						
soma-analytics	666270	company																						
softlanding-labs	666271	company																						
laboryou-international	666272	company																						
vistagen-therapeutics	666273	company																						
stride-academy	666274	company																						
scorebooker	666275	company																						
vision-chain-inc	666276	company																						
novak-biddle-venture-partners	666277	company																						
wealthengine	666278	company																						
triumfant	666279	company																						
starfish-retention-solutions	666280	company																						
appian	666281	company																						
fiberzone-networks	666282	company																						
corasworks	666283	company																						
eminor	666284	company																						
shoeboxed	666285	company																						
princeton-optronics-inc	666286	company																						
gartner-group	666287	company																						
intercap	666288	company																						
vanguard-atlantic-ltd	666289	company																						
safeview	666290	company																						
giga-information-group	666291	company																						
tantivy-communications	666292	company																						
paratek-microwave	666293	company																						
matrics	666294	company																						
telogy-networks	666295	company																						
answerlogic	666296	company																						
blackboard	666297	company																						
netflix	666298	company																						
t-g	666299	company																						
bcg-attorney-search	666300	company																						
legal-authority	666301	company																						
brown-brothers-harriman	666302	company																						
handd-business-solutions	666303	company																						
hover-3d	666304	company																						
us-marine-corps	666305	company																						
3boost	666306	company																						
hyland-software	666307	company																						
cumberland-pharmaceuticals	666308	company																						
the-jar-group	666309	company																						
nlytics	666310	company																						
icrossing	666311	company																						
attention-span-media	666312	company																						
fanology-social	666313	company																						
roka-bioscience	666314	company																						
lonza-bioscience	666315	company																						
dupont	666316	company																						
armedia	666317	company																						
solarswift	666318	company																						
foss-manufacturing-company	666319	company																						
maxim-group	666320	company																						
alinian-capital-group-llc	666321	company																						
virginia-commonwealth-university	666322	company																						
bytes	666323	company																						
financial-guard	666324	company																						
y-kes	666325	company																						
triphuddle	666326	company																						
thoma-bravo	666327	company																						
upstream-technologies	666328	company																						
envis	666329	company																						
soletron	666330	company																						
ajs-rare-footage-llc	666331	company																						
merrill-lynch	666332	company																						
enterprise-products-partners	666333	company																						
blue-moon-works-inc	666334	company																						
grow-mobile	666335	company																						
cnf-investments	666336	company																						
martin-marietta	666337	company																						
geico	666338	company																						
edreams-edusoft	666339	company																						
educomp-solutions	666340	company																						
chase-capital-partners	666341	company																						
debtless-community	666342	company																						
jewish-day-school	666343	company																						
eastern-properties	666344	company																						
cornerstone-pharmaceuticals	666345	company																						
amboy-national-bank	666346	company																						
yeshivas-mir-international	666347	company																						
tur-partners	666348	company																						
somany-ceramics	666349	company																						
creative-bugs	666350	company																						
anchor-2	666351	company																						
rentenna	666352	company																						
franchisehelp	666353	company																						
exusmed	666354	company																						
biobank-technology-ventures	666355	company																						
ioworld	666356	company																						
crh	666357	company																						
pleuraflow-llc	666358	company																						
foundation-medical-partners	666359	company																						
cleveland-clinic	666360	company																						
viacor	666361	company																						
rimidi	666362	company																						
palamon-capital-partners	666363	company																						
rogerscasey	666364	company																						
sands-capital-management	666365	company																						
greenyogi	666366	company																						
installation-media-and-magazine	666367	company																						
private-equity	666368	company																						
nandvarik-systems	666369	company																						
awak	666370	company																						
national-university-of-singapore-deleted	666371	company																						
institution-of-engineers-singapore	666372	company																						
singapore-technologies	666373	company																						
aerospace	666374	company																						
seek-find-hire	666375	company																						
guide2tricks	666376	company																						
qyuki	666377	company																						
buzzient	666378	company																						
minivax	666379	company																						
evariant	666380	company																						
zions-first-national-bank	666381	company																						
imergy-power-systems-inc	666382	company																						
huawei	666383	company																						
alcatel-lucent	666384	company																						
congressional-black-caucus-foundation	666385	company																						
zafesoft	666386	company																						
petroplan	666387	company																						
cabs24x7	666388	company																						
zapme	666389	company																						
runtitle	666390	company																						
hurricane-party	666391	company																						
publikdemand	666392	company																						
godtube	666393	company																						
southwest-research-institute-swri	666394	company																						
metafund	666395	company																						
sonocine	666396	company																						
netgear-inc	666397	company																						
tech-data	666398	company																						
price-waterhouse	666399	company																						
worcester-polytechnic-institute	666400	company																						
aden-earth-inc	666401	company																						
incubes	666402	company																						
xcubelabs	666403	company																						
digite	666404	company																						
fieldoo	666405	company																						
global-data-machine	666406	company																						
invincible-creative	666407	company																						
icoder-magazine	666408	company																						
uadd	666409	company																						
induna-com	666410	company																						
istudyapp	666411	company																						
tiinkk	666412	company																						
tata-communications	666413	company																						
peoplestrong-hr-services	666414	company																						
aricent	666415	company																						
art-of-living	666416	company																						
hughes-software-systems	666417	company																						
aania-domains	666418	company																						
collegewikis	666419	company																						
khosla-ventures	666420	company																						
evisors	666421	company																						
sell-the-deal	666422	company																						
whereismyboss	666423	company																						
aasaanjobs-com	666424	company																						
stockfotoworld	666425	company																						
idea-device	666426	company																						
leyden-energy	666427	company																						
tutorjam	666428	company																						
tooyoou	666429	company																						
shopseen	666430	company																						
